/* DATA DESCRIPTION:
Citation:	Grigorov, Ivo; Rigual-Hernandez, Andrés S; Honjo, Susumu; Kemp, Alan E S; Armand, Leanne K (2009): Diatom assamblage in samples from sediment trap NBP96-04A_MS7a_trap. PANGAEA, https://doi.org/10.1594/PANGAEA.716677, 
	In supplement to: Grigorov, I et al. (2014): Settling fluxes of diatoms to the interior of the Antarctic circumpolar current along 170°W. Deep Sea Research Part I: Oceanographic Research Papers, 93, 1-13, https://doi.org/10.1016/j.dsr.2014.07.008
Project(s):	Antarctic Environments Southern Ocean Process Study (AESOPS) (URI: http://usjgofs.whoi.edu/southern.html)
Coverage:	LATITUDE: -76.500000 * LONGITUDE: -178.016670
	DATE/TIME START: 1997-01-18T00:00:00 * DATE/TIME END: 1998-01-10T00:00:00
	MINIMUM DEPTH, water: 465 m * MAXIMUM DEPTH, water: 465 m
Event(s):	NBP96-04A_MS7a_trap (AE7a) * LATITUDE: -76.500000 * LONGITUDE: -178.016670 * DATE/TIME START: 1996-11-28T00:00:00 * DATE/TIME END: 1998-01-10T00:00:00 * ELEVATION: -581.0 m * LOCATION: Ross Sea * CAMPAIGN: NBP96-04A * BASIS: Nathaniel B. Palmer * DEVICE: Trap, sediment (TRAPS)
Comment:	Numbers represent the calculated diatom flux as recorded by the mooring, and the individual species counts. The diatom flux [#/m**2/day] was calculated using two different methods in parallel, the dilution technique by Sanceta & Silvestri, 1984 (doi:10.1016/0377-8398(84)90016-1) and Batterbee, 1973 (doi:10.4319/lo.1973.18.4.0647).
Parameter(s):	DEPTH, water [m] (Depth water) * GEOCODE
	DATE/TIME (Date/Time) * GEOCODE
	Date/time end (Date/time end) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com)
	Duration, number of days [days] (Duration) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com)
	Actinocyclus actinochilus [#] (A. actinochilus) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Actinocyclus curvatulus [#] (A. curvatulus) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Actinocyclus ehrenbergii [#] (A. ehrenbergii) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Actinocyclus ingens [#] (A. ingens) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Actinocyclus octonarius [#] (A. octonarius) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Asteriomphalus spp. [#] (Asteriomphalus spp.) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Asteriomphalus hookeri [#] (A. hookeri) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Asteriomphalus hyalinus [#] (A. hyalinus) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Asteriomphalus parvulus [#] (A. parvulus) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Azpeitia tabularis [#] (A. tabularis) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Chaetoceros atlanticus [#] (C. atlanticus) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Chaetoceros bulbosum [#] (C. bulbosum) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Chaetoceros criophilum [#] (C. criophilum) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Chaetoceros diadema [#] (C. diadema) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Chaetoceros dichaeta [#] (C. dichaeta) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Chaetoceros radicans [#] (C. radicans) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Chaetoceros spores [#] (Chaet spores) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Chaetoceros spp. [#] (Chaetoceros spp.) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms * COMMENT: A
	Chaetoceros spp. [#] (Chaetoceros spp.) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms * COMMENT: B
	Chaetoceros spp. [#] (Chaetoceros spp.) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms * COMMENT: C
	Chaetoceros, vegetative cells [#] (Chaetoceros veg) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Corethron criophilum [#] (C. criophilum) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Dactyliozolen antarcticus, girdles [#] (D. antarcticus girdles) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms * COMMENT: girdles not included in flux calculations
	Delphineis suriela [#] (D. suriela) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Eucampia antarctica [#] (E. antarctica) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Fragilariopsis curta [#] (F. curta) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Fragilariopsis cylindrus [#] (F. cylindrus) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Fragilariopsis kerguelensis [#] (F. kerguelensis) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Fragilariopsis obliquecostata [#] (F. obliquecostata) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Fragilariopsis pseudonana [#] (F. pseudonana) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Fragilariopsis rhombica [#] (F. rhombica) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Fragilariopsis ritscheri [#] (F. ritscheri) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Fragilariopsis separanda [#] (F. separanda) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Guinardia spp. [#] (Guinardia spp.) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Hemidiscus cuneiformis [#] (H. cuneiformis) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Hemidiscus karstenii [#] (H. karstenii) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Navicula spp. [#] (Navicula spp.) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Nitzschia interruptestriata [#] (N. interruptestriata) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Plagiotropis gaussii [#] (P. gaussii) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Pleurosigma directum [#] (P. directum) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Pleurosigma spp. [#] (Pleurosigma spp.) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Porosira alata [#] (P. alata) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Porosira inermis [#] (P. inermis) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Pseudo-nitzschia bicapitata [#] (P-n bicapitata) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Pseudo-nitzschia lineola [#] (P-n lineola) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Pseudo-nitzschia cf. hemii [#] (P-n cf. hemii) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Rhizosolenia antennata antennata [#] (R. antennata antennata) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Rhizosolenia antennata forma semispina [#] (R. antennata f semispina) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
	Rhizosolenia sima forma sima [#] (R. sima f sima) * PI: Grigorov, Ivo (https://orcid.org/0000-0001-6264-802X, ivo_grigorov@hotmail.com) * METHOD: Counting, diatoms
