sample_type,project,site,long,lat,apf_side,sst,sal_surf
rosette,EISENEX,PS58_012-5,20.8623,-48.1048,PFZ,,
rosette,EISENEX,PS58_042-2,20.8247,-48.1762,PFZ,,
rosette,EISENEX,PS58_048-3,20.7175,-48.593,PFZ,,
rosette,EISENEX,PS58_090-4,21.0893,-47.7127,PFZ,,
rosette,EISENEX,PS58_108-1,20.6473,-47.6682,PFZ,,
trap,AESOPS,NBP96-04A_MS2,-170.1667,-56.9,PFZ,,
trap,AESOPS,NBP96-04A_MS3,-170.05,-60.2833,AAZ,,
trap,AESOPS,NBP96-04A_MS4,-169.9,-63.15,AAZ,,
trap,AESOPS,NBP96-04A_MS5,-169.6667,-66.1667,SACCZ,,
trap,AESOPS,NBP96-04A_MS6,176.8833,-73.55,SACCZ,,
trap,AESOPS,NBP96-04A_MS7,-178.0167,-76.5,SACCZ,,
bottles,brategg,1,-90,-52.8333,SAZ,6.35,34.18
bottles,brategg,2,-90,-53.8167,SAZ,6,34.22
bottles,brategg,3,-90,-54.8333,SAZ,5.8,34.24
bottles,brategg,4,-90,-55.8333,SAZ,5.79,34.22
bottles,brategg,5,-90,-57.1667,SAZ,5.4,34.21
bottles,brategg,6,-90,-58.4,SAZ,4.19,34.16
bottles,brategg,7,-90,-59.4167,SAZ,4.32,34.16
bottles,brategg,8,-90,-60.4333,SAZ,3.48,34.11
bottles,brategg,9,-90,-60.6,SAZ,3.37,34.1
bottles,brategg,10,-90,-61.6167,SAZ,2.8,34.1
bottles,brategg,11,-90,-61.1833,PFZ,2.3,34.035
bottles,brategg,12,-90,-63.2833,PFZ,-0.14,33.76
bottles,brategg,13,-90,-64.3,PFZ,0.07,33.78
bottles,brategg,14,-90,-65.7333,SACCZ,-1.06,33.53
bottles,brategg,15,-90,-66.4167,SACCZ,-1.32,33.46
bottles,brategg,52,-90,-67.7,SACCZ,0.85,32.96
bottles,brategg,53,-90,-68.3333,SACCZ,-1.41,32.94
